0,1,2,8,26,31
0,1,2,8,26,33
0,1,2,8,26,34
0,1,2,8,26,36
0,1,2,8,26,37
0,1,2,8,26,38
0,1,2,8,26,40
0,1,2,8,26,41
0,1,2,8,26,43
0,1,2,8,26,44
0,1,2,8,26,46
0,1,2,8,26,47
0,1,2,8,26,49
0,1,2,8,26,50
0,1,2,8,26,52
0,1,2,8,26,53
0,1,2,8,27,28
0,1,2,8,27,30
0,1,2,8,27,31
0,1,2,8,27,33
0,1,2,8,27,34
0,1,2,8,27,36
0,1,2,8,27,37
0,1,2,8,27,38
0,1,2,8,27,40
0,1,2,8,27,41
0,1,2,8,27,43
0,1,2,8,27,44
0,1,2,8,27,46
0,1,2,8,27,47
0,1,2,8,27,49
0,1,2,8,27,50
0,1,2,8,27,52
0,1,2,8,27,53
0,1,2,8,28,29
0,1,2,8,28,30
0,1,2,8,28,31
0,1,2,8,28,32
0,1,2,8,28,33
0,1,2,8,28,34
0,1,2,8,28,35
0,1,2,8,28,36
0,1,2,8,28,37
0,1,2,8,28,38
0,1,2,8,28,39
0,1,2,8,28,40
0,1,2,8,28,41
0,1,2,8,28,42
0,1,2,8,28,43
0,1,2,8,28,44
0,1,2,8,28,45
0,1,2,8,28,46
0,1,2,8,28,47
0,1,2,8,28,48
0,1,2,8,28,49
0,1,2,8,28,50
0,1,2,8,28,51
0,1,2,8,28,52
0,1,2,8,28,53
0,1,2,8,28,54
0,1,2,8,28,55
0,1,2,8,30,31
0,1,2,8,30,33
0,1,2,8,30,34
0,1,2,8,30,36
0,1,2,8,30,37
0,1,2,8,30,38
0,1,2,8,30,40
0,1,2,8,30,41
0,1,2,8,30,43
0,1,2,8,30,44
0,1,2,8,30,46
0,1,2,8,30,47
0,1,2,8,30,49
0,1,2,8,30,50
0,1,2,8,30,52
0,1,2,8,30,53
0,1,2,8,31,32
0,1,2,8,31,33
0,1,2,8,31,34
0,1,2,8,31,35
0,1,2,8,31,36
0,1,2,8,31,37
0,1,2,8,31,38
0,1,2,8,31,39
0,1,2,8,31,40
0,1,2,8,31,41
0,1,2,8,31,42
0,1,2,8,31,43
0,1,2,8,31,44
0,1,2,8,31,45
0,1,2,8,31,46
0,1,2,8,31,47
0,1,2,8,31,48
0,1,2,8,31,49
0,1,2,8,31,50
0,1,2,8,31,51
0,1,2,8,31,52
0,1,2,8,31,53
0,1,2,8,31,54
0,1,2,8,31,55
0,1,2,8,33,34
0,1,2,8,33,35
0,1,2,8,33,36
0,1,2,8,33,37
0,1,2,8,33,38
0,1,2,8,33,39
0,1,2,8,33,40
0,1,2,8,33,41
0,1,2,8,33,42
0,1,2,8,33,43
0,1,2,8,33,44
0,1,2,8,33,45
0,1,2,8,33,46
0,1,2,8,33,47
0,1,2,8,33,48
0,1,2,8,33,49
0,1,2,8,33,50
0,1,2,8,33,51
0,1,2,8,33,52
0,1,2,8,33,53
0,1,2,8,33,54
0,1,2,8,33,55
0,1,2,8,34,36
0,1,2,8,34,37
0,1,2,8,34,38
0,1,2,8,34,40
0,1,2,8,34,41
0,1,2,8,34,43
0,1,2,8,34,44
0,1,2,8,34,46
0,1,2,8,34,47
0,1,2,8,34,49
0,1,2,8,34,50
0,1,2,8,34,52
0,1,2,8,34,53
0,1,2,8,36,37
0,1,2,8,36,38
0,1,2,8,36,40
0,1,2,8,36,41
0,1,2,8,36,43
0,1,2,8,36,44
0,1,2,8,36,46
0,1,2,8,36,47
0,1,2,8,36,49
0,1,2,8,36,50
0,1,2,8,36,52
0,1,2,8,36,53
0,1,2,8,37,38
0,1,2,8,37,40
0,1,2,8,37,41
0,1,2,8,37,43
0,1,2,8,37,44
0,1,2,8,37,46
0,1,2,8,37,47
0,1,2,8,37,49
0,1,2,8,37,50
0,1,2,8,37,52
0,1,2,8,37,53
0,1,2,8,38,39
0,1,2,8,38,40
0,1,2,8,38,41
0,1,2,8,38,42
0,1,2,8,38,43
0,1,2,8,38,44
0,1,2,8,38,45
0,1,2,8,38,46
0,1,2,8,38,47
0,1,2,8,38,48
