0,1,7,11,36
0,1,7,11,37
0,1,7,11,40
0,1,7,11,41
0,1,7,11,46
0,1,7,11,47
0,1,7,11,50
0,1,7,12,13
0,1,7,12,15
0,1,7,12,16
0,1,7,12,18
0,1,7,12,19
0,1,7,12,21
0,1,7,12,22
0,1,7,12,23
0,1,7,12,24
0,1,7,12,26
0,1,7,12,27
0,1,7,12,28
0,1,7,12,30
0,1,7,12,31
0,1,7,12,33
0,1,7,12,34
0,1,7,12,36
0,1,7,12,37
0,1,7,12,38
0,1,7,12,40
0,1,7,12,41
0,1,7,12,43
0,1,7,12,44
0,1,7,12,46
0,1,7,12,47
0,1,7,12,49
0,1,7,12,50
0,1,7,12,52
0,1,7,12,53
0,1,7,15,16
0,1,7,15,18
0,1,7,15,19
0,1,7,15,21
0,1,7,15,22
0,1,7,15,23
0,1,7,15,24
0,1,7,15,26
0,1,7,15,27
0,1,7,15,28
0,1,7,15,30
0,1,7,15,31
0,1,7,15,33
0,1,7,15,34
0,1,7,15,36
0,1,7,15,37
0,1,7,15,38
0,1,7,15,40
0,1,7,15,41
0,1,7,15,43
0,1,7,15,44
0,1,7,15,46
0,1,7,15,47
0,1,7,15,49
0,1,7,15,50
0,1,7,15,52
0,1,7,15,53
0,1,7,16,17
0,1,7,16,21
0,1,7,16,22
0,1,7,16,23
0,1,7,16,25
0,1,7,16,26
0,1,7,16,27
0,1,7,16,29
0,1,7,16,30
0,1,7,16,31
0,1,7,16,32
0,1,7,16,35
0,1,7,16,36
0,1,7,16,37
0,1,7,16,39
0,1,7,16,40
0,1,7,16,41
0,1,7,16,42
0,1,7,16,45
0,1,7,16,46
0,1,7,16,47
0,1,7,16,48
0,1,7,16,50
0,1,7,16,51
0,1,7,16,55
0,1,7,21,23
0,1,7,21,26
0,1,7,21,27
0,1,7,21,30
0,1,7,21,31
0,1,7,21,36
0,1,7,21,37
0,1,7,21,40
0,1,7,21,41
0,1,7,21,46
0,1,7,21,47
0,1,7,21,50
0,1,7,22,23
0,1,7,22,26
0,1,7,22,27
0,1,7,22,30
0,1,7,22,31
0,1,7,22,36
0,1,7,22,37
0,1,7,22,40
0,1,7,22,41
0,1,7,22,46
0,1,7,22,47
0,1,7,22,50
0,1,7,23,24
0,1,7,23,26
